decay,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA
0.01,190.05,203.25,17.37157415356544,37.826998418248415,7.876617902725893,6.375516072092159
0.02,197.55,234.95,21.46725397684095,39.254351245976245,8.046024056353005,7.392236013986013
0.03,182.65,224.1,19.07759534302557,41.42241575744517,8.013452621939464,7.087519762845851
0.04,184.5,198.8,16.382753828767772,38.52111664724164,7.3691924162009315,6.2261876950280834
0.05,184.3,206.1,17.612212452498106,37.01531861194361,7.779689295090425,6.427213223370833
0.060000000000000005,172.15,204.75,17.986217197528358,39.12017547730047,7.204012942896457,6.440242753623188
0.06999999999999999,184.2,195.45,17.074605047896085,37.97973918990367,7.474694223708643,6.076511586452762
0.08,191.75,207.75,17.08940503068147,41.070642613105846,7.984574560650832,6.541995028321115
0.09,175.3,178.0,17.22212284389878,35.53444904401154,7.5149458399787346,5.476505099793194
0.09999999999999999,165.15,230.75,18.67887522004918,43.08830724830725,7.034893260334437,7.3165134032634045
0.11,178.6,207.8,17.871522209515632,38.10239062393145,7.367644830659538,6.549087208479589
0.12,175.6,210.1,16.955098063485163,39.31560214091464,7.695298183069082,6.556279582736105
0.13,196.25,189.15,16.309376501105668,38.84473457180074,8.03604525778136,5.840957155163677
0.14,184.3,212.8,17.620292480288033,40.424630799755796,7.7132605150697255,6.647788461538463
0.15000000000000002,167.0,203.55,19.523697266076717,37.674491052076576,7.065837541156813,6.413635849657588
0.16,179.55,240.35,18.454482324521024,38.13184141226421,7.4086459857222255,7.647743589743591
0.17,157.0,192.3,18.42441278446948,40.54718185286935,6.592463552846849,6.008554362304364
0.18000000000000002,190.1,211.25,17.127344998912335,38.47859493284493,8.10021340003306,6.629215082019431
0.19,167.0,195.5,19.6244412430404,39.60800088106339,6.92717159747194,6.104703607986218
0.2,190.05,199.4,16.175975890223178,43.54986342415754,7.575056308425874,6.216698359611402
